ID,ParentID,Name,Type,BaseFlow,InitialStage,WarningStage,BoundaryStage,Comment,ShapeX,ShapeY,ShapeZ,TextX,TextY,TextZ,TextAngle,IsPlaced
80,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N351,2,0,0,0,,,696963.585735,808228.656877,0,696966.585735,696966.585735,0.0,0,1
81,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N352,2,0,0,0,,,694029.35243,806535.542809,0,694032.35243,694032.35243,0.0,0,1
82,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N353,2,0,0,0,,,697507.145343,808200.101488,0,697510.145343,697510.145343,0.0,0,1
83,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N354,2,0,0,0,,,693579.65287,806537.330864,0,693582.65287,693582.65287,0.0,0,1
84,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N355,2,0,0,0,,,693673.680897,806537.239,0,693676.680897,693676.680897,0.0,0,1
85,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N398,2,0,0,0,,,693697.449222,807280.448144,0,693700.449222,693700.449222,0.0,0,1
86,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N399,2,0,0,0,,,693678.39283,807077.2225,0,693681.39283,693681.39283,0.0,0,1
87,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N400,2,0,0,0,,,693651.539865,806949.990471,0,693654.539865,693654.539865,0.0,0,1
88,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N401,2,0,0,0,,,693630.652112,806953.259166,0,693633.652112,693633.652112,0.0,0,1
89,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N305,2,0,0,0,,,693740.382536,806406.173974,0,693743.382536,693743.382536,0.0,0,1
90,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N308,2,0,0,0,,,693595.947457,805493.882163,0,693598.947457,693598.947457,0.0,0,1
91,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N309,2,0,0,0,,,693023.030624,804248.222253,0,693026.030624,693026.030624,0.0,0,1
92,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N310,2,0,0,0,,,692984.113051,805186.654759,0,692987.113051,692987.113051,0.0,0,1
93,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N311,2,0,0,0,,,692420.113194,804385.969353,0,692423.113194,692423.113194,0.0,0,1
94,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N312,2,0,0,0,,,691802.080966,804938.031897,0,691805.080966,691805.080966,0.0,0,1
95,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N313,2,0,0,0,,,691394.091953,804793.614863,0,691397.091953,691397.091953,0.0,0,1
96,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N318,2,0,0,0,,,690887.554908,807937.675176,0,690890.554908,690890.554908,0.0,0,1
